V [mL];Concentration determination TitrationEQP1 E
0;666.1
0.005;692.8
0.01;698.1
0.019;702.7
0.041;704.1
0.091;705.3
0.141;707.4
0.191;708.2
0.241;709
0.291;709.9
0.341;710.9
0.391;711.8
0.441;712.6
0.491;713.4
0.541;714.2
0.591;715.1
0.641;715.6
0.691;716.3
0.741;716.9
0.791;717.6
0.841;718.2
0.891;718.7
0.941;719.1
0.991;719.7
1.041;719.8
1.091;719.7
1.141;719.4
1.191;718.4
1.241;716.5
1.291;712.3
1.341;699.9
1.362;688.3
1.368;684.7
1.381;675.2
1.39;667.6
1.398;659.8
1.405;651.9
1.411;644.6
1.417;636.5
1.422;628.9
1.427;620.3
1.432;610.7
1.437;600.1
1.442;588.5
1.447;575.3
1.452;560.2
1.457;544
1.462;525.6
1.467;504.5
1.472;482.4
1.477;472.1
1.485;470
1.505;469
1.555;469.6
1.605;471
1.655;472.4
1.705;473.8
1.755;475.4
1.805;476.9
1.855;478.6
1.905;480.2
1.955;481.8
2.005;483.3
2.055;484.9
2.105;486.5
2.155;489
2.205;491.2
2.255;492.9
2.305;494.8
2.355;496.6
2.405;498.3
2.455;500.2
2.505;501.9
2.555;505.8
2.605;507.5
2.655;510.6
2.705;514.2
2.755;516.4
2.805;519.7
2.855;522.7
2.905;526.2
2.955;529.2
3;531

V [mL];Concentration determination TitrationEQP1 dE/dV
0.091;95.69
0.141;26.38
0.191;18.13
0.241;18.29
0.291;17.45
0.341;16.31
0.391;17.87
0.441;17.13
0.491;16.11
0.541;15
0.591;14.28
0.641;13.69
0.691;13.13
0.741;12.27
0.791;12.15
0.841;12.03
0.891;10.59
0.941;9.02
0.991;6.62
1.041;4.2
1.091;5.64
1.141;-2.34
1.191;-31.53
1.241;-88.35
1.291;-208.55
1.341;-447.33
1.362;-616.75
1.368;-679.66
1.381;-825.38
1.39;-943.76
1.398;-1048.05
1.405;-1175.75
1.411;-1309.8
1.417;-1464.99
1.422;-1616
1.427;-1791.49
1.432;-2006.12
1.437;-2239.88
1.442;-2490.45
1.447;-2795.78
1.452;-3303.14
1.457;-3869.69
1.462;-3487.89
1.467;-2500.84
1.472;-2294.66
1.477;-1853.84
1.485;-1158.78
1.505;-472.03
1.555;-55.46
1.605;21.97
1.655;30.35
1.705;31.85
1.755;31.96
1.805;31.83
1.855;32.15
1.905;30.98
1.955;30.97
2.005;33.31
2.055;35.96
2.105;38.79
2.155;40.62
2.205;40.57
2.255;39.18
2.305;34.51
2.355;35.12
2.405;38.12
2.455;41.78
2.505;48.12
2.555;53.22
2.605;57.06
2.655;58.39
2.705;59.4
2.755;61

V [mL];Concentration determination TitrationEQP1 E
0;628
0.005;650.5
0.01;655.2
0.02;656.7
0.045;658
0.095;660.3
0.145;661.9
0.195;663.4
0.245;664.8
0.295;666
0.345;667
0.395;668.1
0.445;669.2
0.495;670.2
0.545;671.2
0.595;672.3
0.645;673.4
0.695;674.4
0.745;675.5
0.795;676.4
0.845;677.5
0.895;678.4
0.945;679.5
0.995;680.2
1.045;680.9
1.095;681.4
1.145;681.3
1.195;681.3
1.245;680.4
1.295;677.3
1.345;669.2
1.394;645.1
1.399;641.7
1.407;634.5
1.414;627.5
1.421;619.8
1.427;611.8
1.432;604.6
1.437;597.2
1.442;588.8
1.447;579.6
1.452;570.2
1.457;560.1
1.462;549
1.467;536.3
1.472;520.8
1.477;505.3
1.482;488.4
1.487;469.6
1.492;450.1
1.497;431.2
1.502;414.1
1.507;405.1
1.516;402.6
1.538;402.6
1.588;403.9
1.638;405.4
1.688;407
1.738;408.5
1.788;410.4
1.838;412
1.888;414
1.938;415.6
1.988;417.1
2.038;419
2.088;420.8
2.138;422.9
2.188;424.6
2.238;426.4
2.288;428.6
2.338;430.2
2.388;431.8
2.438;433.5
2.488;435.9
2.538;437.3
2.588;438.9
2.638;440.8
2.688;442.4
2.738;444.8
2.788;446.4
2.838;448.1
2.888;449.6
2.938;451.1
2.988;452.7
3;454

V [mL];Concentration determination TitrationEQP1 dE/dV
0.095;78.16
0.145;32.91
0.195;27.31
0.245;24.69
0.295;22.73
0.345;21.7
0.395;20.73
0.445;20.65
0.495;20.86
0.545;21.23
0.595;21
0.645;21.11
0.695;20.81
0.745;20.74
0.795;20.44
0.845;20.06
0.895;19.67
0.945;17.63
0.995;15.21
1.045;13.15
1.095;12.89
1.145;20.19
1.195;-4.6
1.245;-56.2
1.295;-156.78
1.345;-354.3
1.394;-734.31
1.399;-836.7
1.407;-968.66
1.414;-1089.55
1.421;-1215.27
1.427;-1359.14
1.432;-1475.4
1.437;-1602.76
1.442;-1716.78
1.447;-1814.41
1.452;-1976.59
1.457;-2190.74
1.462;-2434.27
1.467;-2725.69
1.472;-3053.35
1.477;-3373.03
1.482;-3698.64
1.487;-3912.68
1.492;-3257.76
1.497;-2418.51
1.502;-2171.42
1.507;-1668.51
1.516;-964.74
1.538;-356.49
1.588;-30.65
1.638;28.29
1.688;34.31
1.738;34.88
1.788;34.75
1.838;34.73
1.888;34.3
1.938;34.67
1.988;35.08
2.038;35.66
2.088;36.93
2.138;38.53
2.188;38.34
2.238;36.25
2.288;36.27
2.338;36.26
2.388;36.06
2.438;35.58
2.488;34.47
2.538;35.55
2.588;35.9
2.638;36.31
2.688;36.71
2.738;37.16
2.788;34.92

V [mL];Concentration determination TitrationEQP1 E
0;743
